Date,Open,High,Low,Close,Adj Close,Volume
2022-09-01,111.099998,114.080002,108.169998,113.400002,113.400002,5661500
2022-09-02,114.32,116.459999,112.330002,113.639999,113.639999,4118500
2022-09-06,114.089996,114.519997,110.5,113.699997,113.699997,4067100
2022-09-07,112.849998,116.440002,112.709999,116.07,116.07,4619300
2022-09-08,114,119.347,114,118.580002,118.580002,4064000
2022-09-09,120.017998,123.709999,119.900002,123.480003,123.480003,5413300
2022-09-12,124.25,127.239998,123.785004,124.790001,124.790001,6993300
2022-09-13,119.699997,123.860001,119.050003,121.540001,121.540001,7126500
2022-09-14,121.629997,127,119.510002,126.800003,126.800003,5690100
2022-09-15,125.290001,129.380005,124.279999,125.040001,125.040001,6606100
2022-09-16,121.110001,122.260002,117.589996,118.75,118.75,13700500
2022-09-19,116.870003,119.779999,116.470001,118.779999,118.779999,4715400
2022-09-20,117.93,121.660004,116.620003,116.709999,116.709999,5610900
2022-09-21,116.370003,119.330002,112.360001,114.010002,114.010002,6898700
2022-09-22,112.669998,113.720001,103.260002,103.720001,103.720001,8399400
2022-09-23,102.199997,103.18,99.709999,101.75,101.75,6241800
2022-09-26,101.779999,105.360001,101.559998,103.230003,103.230003,5278800
2022-09-27,106.040001,108.169998,104.139999,106.370003,106.370003,5081000
2022-09-28,106.700996,111.129997,105.779999,110.690002,110.690002,4518200
2022-09-29,109.190002,109.474998,105.169998,106.660004,106.660004,4259500
2022-09-30,104.760002,109.080002,104.730003,105.040001,105.040001,4747800
