Date,AveragePrice,Total Volume,year,region
2017-12-31,1.47,113514.42,2017,Albany
2017-12-24,1.45,77039.09,2017,Albany
2017-12-17,1.43,70677.56,2017,Albany
2017-12-10,1.29,92325.53,2017,Albany
2017-12-03,1.39,139970.0,2017,Albany
2017-12-31,0.95,649352.59,2017,Atlanta
2017-12-24,1.11,444781.87,2017,Atlanta
2017-12-17,1.0,484326.63,2017,Atlanta
2017-12-10,0.99,543619.28,2017,Atlanta
2017-12-03,1.07,504933.0,2017,Atlanta
2017-12-31,1.15,849487.62,2017,BaltimoreWashington
2017-12-24,1.41,624268.68,2017,BaltimoreWashington
2017-12-17,1.44,628735.17,2017,BaltimoreWashington
2017-12-10,1.13,940850.93,2017,BaltimoreWashington
2017-12-03,1.43,658939.0,2017,BaltimoreWashington
2017-12-31,1.13,79646.97,2017,Boise
2017-12-24,1.18,71004.42,2017,Boise
2017-12-17,1.29,65090.38,2017,Boise
2017-12-10,1.08,85496.29,2017,Boise
2017-12-03,1.14,86646.0,2017,Boise
2017-12-31,1.4,419696.59,2017,Boston
2017-12-24,1.45,414147.94,2017,Boston
2017-12-17,1.28,516770.62,2017,Boston
2017-12-10,1.14,687251.82,2017,Boston
2017-12-03,1.4,488588.0,2017,Boston
2017-12-31,1.27,115508.29,2017,BuffaloRochester
2017-12-24,1.28,127375.45,2017,BuffaloRochester
2017-12-17,1.26,108352.42,2017,BuffaloRochester
2017-12-10,1.25,127279.28,2017,BuffaloRochester
2017-12-03,1.13,153282.0,2017,BuffaloRochester
2017-12-31,0.93,7132711.23,2017,California
2017-12-24,1.13,5346535.57,2017,California
2017-12-17,0.98,6205211.05,2017,California
2017-12-10,1.06,5715712.21,2017,California
2017-12-03,1.09,5544556.0,2017,California
2017-12-31,0.93,346356.5,2017,Charlotte
2017-12-24,1.33,182537.83,2017,Charlotte
2017-12-17,1.26,189529.04,2017,Charlotte
2017-12-10,1.02,277528.93,2017,Charlotte
2017-12-03,1.26,220837.0,2017,Charlotte
2017-12-31,0.93,1182647.5,2017,Chicago
2017-12-24,1.36,707646.11,2017,Chicago
2017-12-17,1.49,620053.78,2017,Chicago
2017-12-10,1.13,1021445.27,2017,Chicago
2017-12-03,1.56,654739.0,2017,Chicago
2017-12-31,0.86,278128.16,2017,CincinnatiDayton
2017-12-24,1.36,159238.4,2017,CincinnatiDayton
2017-12-17,1.3,169219.79,2017,CincinnatiDayton
2017-12-10,1.16,234296.59,2017,CincinnatiDayton
2017-12-03,1.05,302992.0,2017,CincinnatiDayton
2017-12-31,0.8,221203.78,2017,Columbus
2017-12-24,1.06,140322.03,2017,Columbus
2017-12-17,1.03,162900.37,2017,Columbus
2017-12-10,1.1,149626.6,2017,Columbus
2017-12-03,0.99,194796.0,2017,Columbus
2017-12-31,0.9,1116393.2,2017,DallasFtWorth
2017-12-24,0.99,1060456.59,2017,DallasFtWorth
2017-12-17,0.83,1084068.05,2017,DallasFtWorth
2017-12-10,0.75,1288280.85,2017,DallasFtWorth
2017-12-03,0.85,1199422.0,2017,DallasFtWorth
2017-12-31,0.94,938481.85,2017,Denver
2017-12-24,1.19,675592.64,2017,Denver
2017-12-17,1.13,646736.55,2017,Denver
2017-12-10,0.97,886841.87,2017,Denver
2017-12-03,1.1,849840.0,2017,Denver
2017-12-31,0.84,467584.3,2017,Detroit
2017-12-24,1.25,298146.18,2017,Detroit
2017-12-17,1.08,369196.72,2017,Detroit
2017-12-10,1.13,311949.95,2017,Detroit
2017-12-03,0.97,515907.0,2017,Detroit
2017-12-31,1.09,202635.01,2017,GrandRapids
2017-12-24,1.64,130735.97,2017,GrandRapids
2017-12-17,1.25,162923.49,2017,GrandRapids
2017-12-10,1.61,107018.62,2017,GrandRapids
2017-12-03,0.99,301527.0,2017,GrandRapids
2017-12-31,0.92,4398887.92,2017,GreatLakes
2017-12-24,1.3,2860693.26,2017,GreatLakes
2017-12-17,1.22,3023285.74,2017,GreatLakes
2017-12-10,1.18,3258080.63,2017,GreatLakes
2017-12-03,1.15,3837027.0,2017,GreatLakes
2017-12-31,1.37,195897.4,2017,HarrisburgScranton
2017-12-24,1.37,217968.19,2017,HarrisburgScranton
2017-12-17,1.37,196746.0,2017,HarrisburgScranton
2017-12-10,1.13,274939.0,2017,HarrisburgScranton
2017-12-03,1.27,231977.0,2017,HarrisburgScranton
2017-12-31,1.42,245203.25,2017,HartfordSpringfield
2017-12-24,1.5,225990.67,2017,HartfordSpringfield
2017-12-17,1.44,228292.45,2017,HartfordSpringfield
2017-12-10,1.14,447122.29,2017,HartfordSpringfield
2017-12-03,1.55,231210.0,2017,HartfordSpringfield
2017-12-31,0.78,1391181.63,2017,Houston
2017-12-24,0.99,1063384.61,2017,Houston
2017-12-17,0.98,928716.6,2017,Houston
2017-12-10,0.79,1266364.71,2017,Houston
2017-12-03,0.77,1398400.0,2017,Houston
2017-12-31,0.96,205202.95,2017,Indianapolis
2017-12-24,1.3,148389.14,2017,Indianapolis
2017-12-17,1.26,143975.58,2017,Indianapolis
2017-12-10,1.26,167890.91,2017,Indianapolis
2017-12-03,1.25,182891.0,2017,Indianapolis
2017-12-31,1.12,206562.78,2017,Jacksonville
2017-12-24,1.38,127181.54,2017,Jacksonville
2017-12-17,0.99,176847.28,2017,Jacksonville
2017-12-10,1.01,181425.66,2017,Jacksonville
2017-12-03,1.26,152697.0,2017,Jacksonville
2017-12-31,1.04,291922.57,2017,LasVegas
2017-12-24,1.24,234520.01,2017,LasVegas
2017-12-17,1.03,267987.97,2017,LasVegas
2017-12-10,1.03,288441.17,2017,LasVegas
2017-12-03,1.01,315521.0,2017,LasVegas
2017-12-31,0.88,3212261.75,2017,LosAngeles
2017-12-24,1.1,2389829.32,2017,LosAngeles
2017-12-17,0.89,3130916.47,2017,LosAngeles
2017-12-10,1.07,2404221.58,2017,LosAngeles
2017-12-03,1.01,2615853.0,2017,LosAngeles
2017-12-31,0.87,117941.49,2017,Louisville
2017-12-24,1.18,80024.09,2017,Louisville
2017-12-17,1.07,80191.11,2017,Louisville
2017-12-10,1.01,100072.52,2017,Louisville
