Date,AveragePrice,Total Volume,year,region
2015-11-29,1.28,51039.6,2015,Albany
2015-11-22,1.26,55979.78,2015,Albany
2015-11-15,0.99,83453.76,2015,Albany
2015-11-08,0.98,109428.33,2015,Albany
2015-11-01,1.02,99811.42,2015,Albany
2015-11-29,0.99,333280.79,2015,Atlanta
2015-11-22,1.0,356414.57,2015,Atlanta
2015-11-15,1.13,339860.68,2015,Atlanta
2015-11-08,1.12,334041.6,2015,Atlanta
2015-11-01,0.99,419088.74,2015,Atlanta
2015-11-29,1.16,545800.05,2015,BaltimoreWashington
2015-11-22,1.12,572019.8,2015,BaltimoreWashington
2015-11-15,1.04,718330.48,2015,BaltimoreWashington
2015-11-08,1.05,830967.23,2015,BaltimoreWashington
2015-11-01,1.12,742220.67,2015,BaltimoreWashington
2015-11-29,1.06,49069.13,2015,Boise
2015-11-22,1.09,52875.58,2015,Boise
2015-11-15,1.01,68648.22,2015,Boise
2015-11-08,1.11,55847.79,2015,Boise
2015-11-01,1.14,53585.51,2015,Boise
2015-11-29,1.19,350559.81,2015,Boston
2015-11-22,1.07,466759.99,2015,Boston
2015-11-15,1.05,513738.98,2015,Boston
2015-11-08,1.04,641759.57,2015,Boston
2015-11-01,1.06,553096.84,2015,Boston
2015-11-29,1.39,79973.14,2015,BuffaloRochester
2015-11-22,1.4,90242.31,2015,BuffaloRochester
2015-11-15,1.36,99703.72,2015,BuffaloRochester
2015-11-08,1.3,111038.95,2015,BuffaloRochester
2015-11-01,1.23,118541.11,2015,BuffaloRochester
2015-11-29,0.91,4575710.62,2015,California
2015-11-22,0.92,4804278.16,2015,California
2015-11-15,0.83,5755190.69,2015,California
2015-11-08,0.98,5148983.51,2015,California
2015-11-01,0.95,5830427.96,2015,California
2015-11-29,0.95,138858.86,2015,Charlotte
2015-11-22,1.0,133618.33,2015,Charlotte
2015-11-15,1.01,169281.16,2015,Charlotte
2015-11-08,1.03,164322.04,2015,Charlotte
2015-11-01,1.11,171793.87,2015,Charlotte
2015-11-29,1.11,602481.22,2015,Chicago
2015-11-22,0.94,751897.89,2015,Chicago
2015-11-15,1.17,641881.96,2015,Chicago
2015-11-08,1.01,711146.61,2015,Chicago
2015-11-01,1.0,807041.46,2015,Chicago
2015-11-29,0.88,141356.34,2015,CincinnatiDayton
