Date,AveragePrice,Total Volume,year,region
2018-02-25,1.28,104278.89,2018,Albany
2018-02-18,1.43,85630.24,2018,Albany
2018-02-11,1.45,121804.36,2018,Albany
2018-02-04,1.03,216738.47,2018,Albany
2018-02-25,1.06,586240.44,2018,Atlanta
2018-02-18,1.04,538448.01,2018,Atlanta
2018-02-11,0.87,723928.38,2018,Atlanta
2018-02-04,0.86,957792.07,2018,Atlanta
2018-02-25,1.37,836294.71,2018,BaltimoreWashington
2018-02-18,1.42,796515.52,2018,BaltimoreWashington
2018-02-11,1.41,900558.38,2018,BaltimoreWashington
2018-02-04,1.12,1225103.27,2018,BaltimoreWashington
2018-02-25,1.09,113183.43,2018,Boise
2018-02-18,1.25,80833.06,2018,Boise
2018-02-11,1.14,93106.27,2018,Boise
2018-02-04,1.07,128702.15,2018,Boise
2018-02-25,1.41,527274.99,2018,Boston
2018-02-18,1.51,515022.94,2018,Boston
2018-02-11,1.3,834304.52,2018,Boston
2018-02-04,1.39,725934.21,2018,Boston
2018-02-25,1.23,151330.38,2018,BuffaloRochester
2018-02-18,1.28,144087.48,2018,BuffaloRochester
2018-02-11,1.27,151057.53,2018,BuffaloRochester
2018-02-04,1.32,188654.47,2018,BuffaloRochester
2018-02-25,1.03,6750361.46,2018,California
2018-02-18,1.1,6379219.83,2018,California
2018-02-11,0.98,6718358.1,2018,California
2018-02-04,0.8,10894677.77,2018,California
2018-02-25,1.34,249254.23,2018,Charlotte
2018-02-18,1.36,224395.77,2018,Charlotte
2018-02-11,1.18,262133.71,2018,Charlotte
2018-02-04,0.99,411160.94,2018,Charlotte
2018-02-25,1.51,794925.31,2018,Chicago
2018-02-18,1.53,736317.26,2018,Chicago
2018-02-11,1.39,897178.36,2018,Chicago
2018-02-04,0.88,1802646.35,2018,Chicago
2018-02-25,1.03,263363.41,2018,CincinnatiDayton
2018-02-18,0.83,231729.88,2018,CincinnatiDayton
2018-02-11,0.8,305400.41,2018,CincinnatiDayton
2018-02-04,0.76,380214.74,2018,CincinnatiDayton
2018-02-25,1.03,209180.18,2018,Columbus
2018-02-18,1.02,179193.25,2018,Columbus
2018-02-11,0.82,218329.7,2018,Columbus
2018-02-04,0.73,333398.29,2018,Columbus
2018-02-25,0.74,1616898.5,2018,DallasFtWorth
2018-02-18,0.77,1421970.53,2018,DallasFtWorth
2018-02-11,0.72,1553404.16,2018,DallasFtWorth
2018-02-04,0.67,1885401.44,2018,DallasFtWorth
2018-02-25,0.99,1018614.31,2018,Denver
2018-02-18,1.16,743979.81,2018,Denver
2018-02-11,0.91,1056054.41,2018,Denver
2018-02-04,0.87,1381528.74,2018,Denver
2018-02-25,1.08,464413.57,2018,Detroit
2018-02-18,1.11,361966.97,2018,Detroit
2018-02-11,0.92,435384.45,2018,Detroit
2018-02-04,0.67,880540.45,2018,Detroit
2018-02-25,1.27,208279.53,2018,GrandRapids
2018-02-18,1.52,143871.75,2018,GrandRapids
2018-02-11,1.4,167604.6,2018,GrandRapids
2018-02-04,0.88,408921.57,2018,GrandRapids
2018-02-25,1.19,3920643.53,2018,GreatLakes
2018-02-18,1.2,3351722.04,2018,GreatLakes
2018-02-11,1.05,4104031.93,2018,GreatLakes
2018-02-04,0.81,7094764.73,2018,GreatLakes
2018-02-25,1.24,281655.48,2018,HarrisburgScranton
2018-02-18,1.25,277022.82,2018,HarrisburgScranton
2018-02-11,1.09,321368.64,2018,HarrisburgScranton
2018-02-04,1.16,395673.05,2018,HarrisburgScranton
2018-02-25,1.45,289607.63,2018,HartfordSpringfield
2018-02-18,1.42,283265.66,2018,HartfordSpringfield
2018-02-11,1.48,352731.83,2018,HartfordSpringfield
2018-02-04,1.38,427950.71,2018,HartfordSpringfield
2018-02-25,0.67,1657524.28,2018,Houston
2018-02-18,0.68,1572064.61,2018,Houston
2018-02-11,0.58,1870874.72,2018,Houston
2018-02-04,0.56,2381742.59,2018,Houston
2018-02-25,1.06,196615.34,2018,Indianapolis
2018-02-18,0.91,186523.76,2018,Indianapolis
2018-02-11,0.81,258008.01,2018,Indianapolis
2018-02-04,0.79,335442.41,2018,Indianapolis
2018-02-25,1.27,194729.14,2018,Jacksonville
2018-02-18,1.31,185003.97,2018,Jacksonville
2018-02-11,0.99,234557.28,2018,Jacksonville
2018-02-04,0.96,365637.29,2018,Jacksonville
2018-02-25,1.05,352533.59,2018,LasVegas
2018-02-18,1.13,325042.62,2018,LasVegas
2018-02-11,0.9,433809.84,2018,LasVegas
2018-02-04,0.88,512982.73,2018,LasVegas
2018-02-25,1.0,3029956.79,2018,LosAngeles
2018-02-18,1.08,2749718.75,2018,LosAngeles
2018-02-11,0.85,3323882.38,2018,LosAngeles
2018-02-04,0.73,5070580.56,2018,LosAngeles
2018-02-25,1.13,99580.43,2018,Louisville
2018-02-18,1.06,101522.07,2018,Louisville
2018-02-11,0.87,130566.55,2018,Louisville
2018-02-04,0.84,169828.77,2018,Louisville
2018-02-25,1.36,647233.53,2018,MiamiFtLauderdale
2018-02-18,1.34,669345.2,2018,MiamiFtLauderdale
2018-02-11,1.0,856022.49,2018,MiamiFtLauderdale
2018-02-04,0.98,1310671.51,2018,MiamiFtLauderdale
2018-02-25,1.24,3349766.24,2018,Midsouth
2018-02-18,1.25,3135330.32,2018,Midsouth
2018-02-11,1.1,3803512.06,2018,Midsouth
2018-02-04,0.96,5286412.87,2018,Midsouth
2018-02-25,1.08,230229.94,2018,Nashville
2018-02-18,1.05,230083.5,2018,Nashville
2018-02-11,0.8,303827.76,2018,Nashville
2018-02-04,0.8,391780.25,2018,Nashville
2018-02-25,0.98,373167.22,2018,NewOrleansMobile
2018-02-18,1.02,306966.07,2018,NewOrleansMobile
2018-02-11,0.97,289527.53,2018,NewOrleansMobile
2018-02-04,0.76,521184.22,2018,NewOrleansMobile
2018-02-25,1.3,1615325.14,2018,NewYork
2018-02-18,1.24,1413687.38,2018,NewYork
2018-02-11,1.27,2051389.99,2018,NewYork
2018-02-04,1.28,2959541.38,2018,NewYork
2018-02-25,1.3,4525386.69,2018,Northeast
2018-02-18,1.31,4112725.9,2018,Northeast
2018-02-11,1.24,5694136.21,2018,Northeast
2018-02-04,1.22,7508650.27,2018,Northeast
2018-02-25,1.38,399308.69,2018,NorthernNewEngland
2018-02-18,1.35,395298.31,2018,NorthernNewEngland
2018-02-11,1.11,617475.89,2018,NorthernNewEngland
