Date,AveragePrice,Total Volume,year,region
2015-06-28,1.37,89534.81,2015,Albany
2015-06-21,1.27,104849.39,2015,Albany
2015-06-14,1.32,89631.3,2015,Albany
2015-06-07,1.07,122743.06,2015,Albany
2015-06-28,1.13,435210.71,2015,Atlanta
2015-06-21,0.99,554763.76,2015,Atlanta
2015-06-14,1.1,465804.78,2015,Atlanta
2015-06-07,0.99,551009.05,2015,Atlanta
2015-06-28,1.15,862261.64,2015,BaltimoreWashington
2015-06-21,1.16,862840.73,2015,BaltimoreWashington
2015-06-14,1.09,955046.82,2015,BaltimoreWashington
2015-06-07,1.26,794310.29,2015,BaltimoreWashington
2015-06-28,1.04,75280.41,2015,Boise
2015-06-21,1.06,81397.07,2015,Boise
2015-06-14,0.99,87607.71,2015,Boise
2015-06-07,1.12,80751.29,2015,Boise
2015-06-28,1.25,560494.92,2015,Boston
2015-06-21,1.24,543504.66,2015,Boston
2015-06-14,1.08,684346.48,2015,Boston
2015-06-07,1.25,562542.86,2015,Boston
2015-06-28,1.36,137246.7,2015,BuffaloRochester
2015-06-21,1.5,108655.36,2015,BuffaloRochester
2015-06-14,1.34,149376.79,2015,BuffaloRochester
2015-06-07,1.38,130908.11,2015,BuffaloRochester
2015-06-28,1.1,5641742.02,2015,California
2015-06-21,1.07,5952597.29,2015,California
2015-06-14,0.97,6741662.31,2015,California
2015-06-07,0.98,6374842.9,2015,California
2015-06-28,1.17,193654.01,2015,Charlotte
2015-06-21,1.17,201173.1,2015,Charlotte
2015-06-14,1.15,207093.88,2015,Charlotte
2015-06-07,1.15,199980.3,2015,Charlotte
2015-06-28,1.21,786250.22,2015,Chicago
2015-06-21,1.24,804902.52,2015,Chicago
2015-06-14,1.21,868197.41,2015,Chicago
2015-06-07,1.24,824216.23,2015,Chicago
2015-06-28,1.01,225165.84,2015,CincinnatiDayton
2015-06-21,1.02,243012.2,2015,CincinnatiDayton
2015-06-14,1.05,229363.51,2015,CincinnatiDayton
2015-06-07,1.07,234981.67,2015,CincinnatiDayton
2015-06-28,0.94,159970.54,2015,Columbus
2015-06-21,0.99,164161.25,2015,Columbus
2015-06-14,1.01,171353.59,2015,Columbus
2015-06-07,1.03,187983.88,2015,Columbus
