Date,AveragePrice,Total Volume,year,region
2016-05-29,1.49,127812.25,2016,Albany
2016-05-22,1.34,98863.64,2016,Albany
2016-05-15,1.36,96924.19,2016,Albany
2016-05-08,1.27,120194.49,2016,Albany
2016-05-01,1.03,173781.78,2016,Albany
2016-05-29,0.78,691344.07,2016,Atlanta
2016-05-22,0.79,585351.77,2016,Atlanta
2016-05-15,0.68,755306.53,2016,Atlanta
2016-05-08,0.81,643699.77,2016,Atlanta
2016-05-01,0.77,735635.49,2016,Atlanta
2016-05-29,1.19,890196.73,2016,BaltimoreWashington
2016-05-22,1.19,837573.29,2016,BaltimoreWashington
2016-05-15,1.12,901689.79,2016,BaltimoreWashington
2016-05-08,0.95,1103888.28,2016,BaltimoreWashington
2016-05-01,1.07,929492.14,2016,BaltimoreWashington
2016-05-29,0.63,82549.14,2016,Boise
2016-05-22,0.65,75996.51,2016,Boise
2016-05-15,0.58,95143.57,2016,Boise
2016-05-08,0.61,106409.67,2016,Boise
2016-05-01,0.63,82585.83,2016,Boise
2016-05-29,1.08,673496.13,2016,Boston
2016-05-22,1.05,665086.17,2016,Boston
2016-05-15,1.06,709563.16,2016,Boston
2016-05-08,0.85,924194.42,2016,Boston
2016-05-01,1.05,716003.18,2016,Boston
2016-05-29,1.19,147423.25,2016,BuffaloRochester
2016-05-22,1.12,168251.29,2016,BuffaloRochester
2016-05-15,1.09,164790.54,2016,BuffaloRochester
2016-05-08,1.09,201142.55,2016,BuffaloRochester
2016-05-01,1.11,171441.29,2016,BuffaloRochester
2016-05-29,0.98,6700986.44,2016,California
2016-05-22,0.9,6501981.08,2016,California
2016-05-15,0.97,6068872.71,2016,California
2016-05-08,0.79,7808461.74,2016,California
2016-05-01,0.75,7661483.37,2016,California
2016-05-29,1.21,235009.02,2016,Charlotte
2016-05-22,1.26,203492.89,2016,Charlotte
2016-05-15,1.12,215807.01,2016,Charlotte
2016-05-08,1.05,253622.75,2016,Charlotte
2016-05-01,1.04,249786.11,2016,Charlotte
2016-05-29,1.15,958566.68,2016,Chicago
2016-05-22,1.11,903864.9,2016,Chicago
2016-05-15,1.04,930403.37,2016,Chicago
2016-05-08,0.97,974740.13,2016,Chicago
2016-05-01,1.0,890281.5,2016,Chicago
2016-05-29,0.84,268328.36,2016,CincinnatiDayton
2016-05-22,0.82,250387.73,2016,CincinnatiDayton
2016-05-15,0.88,250333.08,2016,CincinnatiDayton
2016-05-08,0.86,314243.15,2016,CincinnatiDayton
2016-05-01,0.94,233581.0,2016,CincinnatiDayton
2016-05-29,0.93,201747.62,2016,Columbus
2016-05-22,0.83,210263.7,2016,Columbus
2016-05-15,0.84,202002.0,2016,Columbus
2016-05-08,0.9,201205.97,2016,Columbus
2016-05-01,0.71,224515.48,2016,Columbus
2016-05-29,0.77,1354696.91,2016,DallasFtWorth
2016-05-22,0.7,1378888.74,2016,DallasFtWorth
2016-05-15,0.71,1366439.71,2016,DallasFtWorth
2016-05-08,0.72,1475782.06,2016,DallasFtWorth
2016-05-01,0.71,1433697.02,2016,DallasFtWorth
2016-05-29,0.85,977871.04,2016,Denver
2016-05-22,0.9,932146.56,2016,Denver
2016-05-15,0.9,952354.86,2016,Denver
2016-05-08,0.8,1113912.58,2016,Denver
2016-05-01,0.87,819111.24,2016,Denver
2016-05-29,1.04,348557.33,2016,Detroit
2016-05-22,1.07,303330.62,2016,Detroit
2016-05-15,0.86,485653.27,2016,Detroit
2016-05-08,0.96,500424.55,2016,Detroit
2016-05-01,1.0,319391.58,2016,Detroit
2016-05-29,1.32,193459.52,2016,GrandRapids
2016-05-22,1.31,151840.62,2016,GrandRapids
2016-05-15,0.88,295706.69,2016,GrandRapids
2016-05-08,1.04,272057.12,2016,GrandRapids
2016-05-01,1.12,191903.31,2016,GrandRapids
2016-05-29,1.05,3925300.14,2016,GreatLakes
2016-05-22,1.0,3705262.31,2016,GreatLakes
2016-05-15,0.91,4324700.33,2016,GreatLakes
2016-05-08,0.94,4460481.53,2016,GreatLakes
2016-05-01,0.94,3801508.26,2016,GreatLakes
2016-05-29,1.13,280015.07,2016,HarrisburgScranton
2016-05-22,1.12,257598.79,2016,HarrisburgScranton
2016-05-15,1.08,270638.76,2016,HarrisburgScranton
2016-05-08,0.91,373544.69,2016,HarrisburgScranton
2016-05-01,0.99,316410.59,2016,HarrisburgScranton
2016-05-29,1.15,382443.83,2016,HartfordSpringfield
2016-05-22,1.26,296893.56,2016,HartfordSpringfield
2016-05-15,1.24,416264.79,2016,HartfordSpringfield
2016-05-08,0.86,522565.33,2016,HartfordSpringfield
2016-05-01,1.18,353240.26,2016,HartfordSpringfield
2016-05-29,0.82,1128598.95,2016,Houston
2016-05-22,0.68,1378761.67,2016,Houston
2016-05-15,0.69,1343566.69,2016,Houston
2016-05-08,0.65,1406283.85,2016,Houston
2016-05-01,0.68,1308614.45,2016,Houston
2016-05-29,1.01,210386.61,2016,Indianapolis
2016-05-22,0.87,214847.19,2016,Indianapolis
2016-05-15,0.88,212806.58,2016,Indianapolis
2016-05-08,0.93,228601.39,2016,Indianapolis
2016-05-01,0.92,207488.02,2016,Indianapolis
2016-05-29,0.92,242168.85,2016,Jacksonville
2016-05-22,1.17,160652.39,2016,Jacksonville
2016-05-15,0.79,257370.46,2016,Jacksonville
2016-05-08,0.8,224519.56,2016,Jacksonville
2016-05-01,0.68,370646.01,2016,Jacksonville
2016-05-29,0.89,391993.97,2016,LasVegas
2016-05-22,0.93,318913.34,2016,LasVegas
2016-05-15,0.86,317621.52,2016,LasVegas
2016-05-08,0.83,427575.05,2016,LasVegas
2016-05-01,0.85,363104.7,2016,LasVegas
2016-05-29,0.83,3203935.53,2016,LosAngeles
2016-05-22,0.76,3134305.39,2016,LosAngeles
2016-05-15,0.82,2866855.58,2016,LosAngeles
2016-05-08,0.64,3942054.31,2016,LosAngeles
2016-05-01,0.62,3863314.25,2016,LosAngeles
2016-05-29,0.99,109060.73,2016,Louisville
2016-05-22,0.91,113794.41,2016,Louisville
2016-05-15,0.86,106278.64,2016,Louisville
2016-05-08,0.86,139475.75,2016,Louisville
2016-05-01,0.88,128108.76,2016,Louisville
2016-05-29,0.97,849097.69,2016,MiamiFtLauderdale
2016-05-22,1.26,497819.63,2016,MiamiFtLauderdale
2016-05-15,0.88,889357.25,2016,MiamiFtLauderdale
2016-05-08,1.01,653844.27,2016,MiamiFtLauderdale
2016-05-01,0.79,1078794.69,2016,MiamiFtLauderdale
2016-05-29,1.09,3349139.43,2016,Midsouth
2016-05-22,1.08,3154318.39,2016,Midsouth
2016-05-15,1.04,3205037.79,2016,Midsouth
2016-05-08,0.95,3850645.65,2016,Midsouth
2016-05-01,0.99,3536333.98,2016,Midsouth
2016-05-29,0.87,238624.36,2016,Nashville
2016-05-22,0.92,204128.5,2016,Nashville
