Date,AveragePrice,Total Volume,year,region
2016-12-25,1.52,73341.73,2016,Albany
2016-12-18,1.53,68938.53,2016,Albany
2016-12-11,1.49,71777.85,2016,Albany
2016-12-04,1.48,113031.96,2016,Albany
2016-12-25,0.91,502787.29,2016,Atlanta
2016-12-18,0.94,463483.07,2016,Atlanta
2016-12-11,1.06,422026.71,2016,Atlanta
2016-12-04,1.03,475815.02,2016,Atlanta
2016-12-25,1.47,550947.61,2016,BaltimoreWashington
2016-12-18,1.21,691008.74,2016,BaltimoreWashington
2016-12-11,1.35,599161.08,2016,BaltimoreWashington
2016-12-04,1.41,566956.23,2016,BaltimoreWashington
2016-12-25,1.03,71168.92,2016,Boise
2016-12-18,1.02,64421.58,2016,Boise
2016-12-11,0.8,98346.8,2016,Boise
2016-12-04,1.01,72471.63,2016,Boise
2016-12-25,1.28,447600.75,2016,Boston
2016-12-18,1.09,579577.33,2016,Boston
2016-12-11,1.22,510800.58,2016,Boston
2016-12-04,1.26,473428.36,2016,Boston
2016-12-25,1.41,103035.45,2016,BuffaloRochester
2016-12-18,1.36,85340.08,2016,BuffaloRochester
2016-12-11,1.47,89037.86,2016,BuffaloRochester
2016-12-04,1.66,72203.16,2016,BuffaloRochester
2016-12-25,0.94,5414937.46,2016,California
2016-12-18,0.95,4922621.54,2016,California
2016-12-11,0.9,5526646.12,2016,California
2016-12-04,0.98,5062952.53,2016,California
2016-12-25,1.25,155793.03,2016,Charlotte
2016-12-18,1.24,144634.01,2016,Charlotte
2016-12-11,1.33,145815.04,2016,Charlotte
2016-12-04,1.34,154742.81,2016,Charlotte
2016-12-25,1.22,616653.72,2016,Chicago
2016-12-18,1.18,631117.18,2016,Chicago
2016-12-11,1.09,734954.21,2016,Chicago
2016-12-04,1.27,624751.15,2016,Chicago
2016-12-25,0.82,276387.95,2016,CincinnatiDayton
2016-12-18,0.99,216881.3,2016,CincinnatiDayton
2016-12-11,0.77,268166.21,2016,CincinnatiDayton
2016-12-04,0.7,356617.38,2016,CincinnatiDayton
2016-12-25,1.07,136733.12,2016,Columbus
2016-12-18,1.06,131322.27,2016,Columbus
2016-12-11,0.98,144354.95,2016,Columbus
2016-12-04,0.84,237639.3,2016,Columbus
2016-12-25,0.76,1199636.75,2016,DallasFtWorth
2016-12-18,0.69,1148251.0,2016,DallasFtWorth
2016-12-11,0.69,1121306.38,2016,DallasFtWorth
2016-12-04,0.69,1245471.58,2016,DallasFtWorth
2016-12-25,1.04,765511.4,2016,Denver
2016-12-18,1.04,705750.83,2016,Denver
2016-12-11,0.95,764135.24,2016,Denver
2016-12-04,0.91,855989.02,2016,Denver
2016-12-25,1.06,319957.45,2016,Detroit
2016-12-18,1.05,298755.3,2016,Detroit
2016-12-11,0.95,333109.65,2016,Detroit
2016-12-04,0.81,545216.52,2016,Detroit
2016-12-25,1.33,149348.88,2016,GrandRapids
2016-12-18,1.14,161136.65,2016,GrandRapids
2016-12-11,1.2,128166.44,2016,GrandRapids
2016-12-04,0.92,263904.24,2016,GrandRapids
2016-12-25,1.11,2954314.99,2016,GreatLakes
2016-12-18,1.11,2791515.27,2016,GreatLakes
2016-12-11,1.03,3048518.15,2016,GreatLakes
2016-12-04,0.97,3854099.9,2016,GreatLakes
2016-12-25,1.45,186180.0,2016,HarrisburgScranton
2016-12-18,1.21,210917.45,2016,HarrisburgScranton
2016-12-11,1.26,202600.72,2016,HarrisburgScranton
2016-12-04,1.4,172416.11,2016,HarrisburgScranton
2016-12-25,1.49,238100.22,2016,HartfordSpringfield
2016-12-18,1.22,304051.46,2016,HartfordSpringfield
2016-12-11,1.42,245721.9,2016,HartfordSpringfield
2016-12-04,1.54,207482.67,2016,HartfordSpringfield
2016-12-25,0.72,1126850.62,2016,Houston
2016-12-18,0.63,1212933.22,2016,Houston
2016-12-11,0.73,1015973.91,2016,Houston
2016-12-04,0.71,1130895.62,2016,Houston
2016-12-25,1.13,135848.61,2016,Indianapolis
2016-12-18,1.19,122035.89,2016,Indianapolis
2016-12-11,1.17,133480.18,2016,Indianapolis
2016-12-04,1.18,144732.39,2016,Indianapolis
2016-12-25,0.81,187804.02,2016,Jacksonville
2016-12-18,0.84,162502.3,2016,Jacksonville
2016-12-11,1.17,116052.47,2016,Jacksonville
2016-12-04,0.89,206009.55,2016,Jacksonville
2016-12-25,0.82,292038.68,2016,LasVegas
2016-12-18,0.81,297506.24,2016,LasVegas
2016-12-11,0.83,339328.92,2016,LasVegas
2016-12-04,0.91,315048.8,2016,LasVegas
2016-12-25,0.84,2641775.31,2016,LosAngeles
2016-12-18,0.84,2377799.62,2016,LosAngeles
2016-12-11,0.75,2793917.73,2016,LosAngeles
2016-12-04,0.78,2780629.1,2016,LosAngeles
2016-12-25,1.01,81833.86,2016,Louisville
2016-12-18,1.1,67720.14,2016,Louisville
2016-12-11,0.79,105228.6,2016,Louisville
2016-12-04,0.83,127200.91,2016,Louisville
2016-12-25,0.97,648358.72,2016,MiamiFtLauderdale
2016-12-18,0.97,662655.37,2016,MiamiFtLauderdale
2016-12-11,1.39,446139.65,2016,MiamiFtLauderdale
2016-12-04,0.98,728191.35,2016,MiamiFtLauderdale
2016-12-25,1.23,2180512.1,2016,Midsouth
2016-12-18,1.16,2242221.26,2016,Midsouth
2016-12-11,1.15,2339977.39,2016,Midsouth
2016-12-04,1.2,2359837.16,2016,Midsouth
2016-12-25,0.93,166486.05,2016,Nashville
2016-12-18,0.92,158024.16,2016,Nashville
2016-12-11,0.9,193711.04,2016,Nashville
2016-12-04,0.96,189526.37,2016,Nashville
2016-12-25,0.94,225497.02,2016,NewOrleansMobile
2016-12-18,1.08,183103.22,2016,NewOrleansMobile
2016-12-11,1.21,177582.49,2016,NewOrleansMobile
2016-12-04,1.05,253241.58,2016,NewOrleansMobile
2016-12-25,1.36,1087984.9,2016,NewYork
2016-12-18,1.26,1241381.71,2016,NewYork
2016-12-11,1.32,1163696.14,2016,NewYork
2016-12-04,1.52,960475.67,2016,NewYork
2016-12-25,1.36,3216470.61,2016,Northeast
2016-12-18,1.22,3686005.68,2016,Northeast
2016-12-11,1.32,3381321.05,2016,Northeast
2016-12-04,1.4,3222663.98,2016,Northeast
2016-12-25,1.24,325634.21,2016,NorthernNewEngland
2016-12-18,1.19,357508.29,2016,NorthernNewEngland
2016-12-11,1.29,310425.3,2016,NorthernNewEngland
2016-12-04,1.12,440990.34,2016,NorthernNewEngland
2016-12-25,0.94,359005.75,2016,Orlando
2016-12-18,0.92,333093.29,2016,Orlando
2016-12-11,1.22,247659.65,2016,Orlando
2016-12-04,0.97,398859.76,2016,Orlando
2016-12-25,1.43,329493.55,2016,Philadelphia
2016-12-18,1.38,336267.19,2016,Philadelphia
2016-12-11,1.37,356716.07,2016,Philadelphia
2016-12-04,1.54,301329.5,2016,Philadelphia
2016-12-25,0.64,1108953.48,2016,PhoenixTucson
2016-12-18,0.56,1236204.18,2016,PhoenixTucson
2016-12-11,0.67,1056806.44,2016,PhoenixTucson
2016-12-04,0.63,1164027.22,2016,PhoenixTucson
2016-12-25,1.26,80688.76,2016,Pittsburgh
2016-12-18,1.02,123555.7,2016,Pittsburgh
2016-12-11,1.21,84144.99,2016,Pittsburgh
2016-12-04,1.27,80731.39,2016,Pittsburgh
2016-12-25,1.09,1449394.65,2016,Plains
2016-12-18,1.06,1426470.94,2016,Plains
2016-12-11,1.08,1468901.87,2016,Plains
2016-12-04,1.09,1676509.02,2016,Plains
2016-12-25,0.94,525930.72,2016,Portland
2016-12-18,0.93,522499.15,2016,Portland
2016-12-11,0.7,923022.14,2016,Portland
2016-12-04,1.0,594246.5,2016,Portland
2016-12-25,1.24,208041.0,2016,RaleighGreensboro
2016-12-18,1.26,197054.39,2016,RaleighGreensboro
2016-12-11,1.24,215138.05,2016,RaleighGreensboro
2016-12-04,1.31,216077.75,2016,RaleighGreensboro
2016-12-25,1.2,176103.25,2016,RichmondNorfolk
2016-12-18,1.15,174209.1,2016,RichmondNorfolk
2016-12-11,1.1,186495.71,2016,RichmondNorfolk
2016-12-04,1.18,183871.72,2016,RichmondNorfolk
2016-12-25,1.16,103804.48,2016,Roanoke
2016-12-18,1.15,93106.8,2016,Roanoke
2016-12-11,1.04,113394.91,2016,Roanoke
