Date,AveragePrice,Total Volume,year,region
2016-07-31,1.61,125586.57,2016,Albany
2016-07-24,1.46,98321.14,2016,Albany
2016-07-17,1.31,89228.02,2016,Albany
2016-07-10,1.11,131630.13,2016,Albany
2016-07-03,1.42,115907.61,2016,Albany
2016-07-31,0.98,537633.39,2016,Atlanta
2016-07-24,1.0,495686.56,2016,Atlanta
2016-07-17,1.01,474063.61,2016,Atlanta
2016-07-10,0.92,560865.26,2016,Atlanta
2016-07-03,0.77,789398.22,2016,Atlanta
2016-07-31,1.65,698627.62,2016,BaltimoreWashington
2016-07-24,1.64,719104.08,2016,BaltimoreWashington
2016-07-17,1.47,730875.32,2016,BaltimoreWashington
2016-07-10,1.37,831187.91,2016,BaltimoreWashington
2016-07-03,1.38,844337.61,2016,BaltimoreWashington
2016-07-31,0.78,69620.36,2016,Boise
2016-07-24,0.74,65580.47,2016,Boise
2016-07-17,0.7,69052.66,2016,Boise
2016-07-10,0.75,132511.44,2016,Boise
2016-07-03,0.77,136377.55,2016,Boise
2016-07-31,1.61,508949.6,2016,Boston
2016-07-24,1.52,509094.85,2016,Boston
2016-07-17,1.56,488508.05,2016,Boston
2016-07-10,1.32,549815.44,2016,Boston
2016-07-03,1.38,585484.69,2016,Boston
2016-07-31,1.45,108088.47,2016,BuffaloRochester
2016-07-24,1.44,104126.3,2016,BuffaloRochester
2016-07-17,1.3,141880.95,2016,BuffaloRochester
2016-07-10,1.25,183741.31,2016,BuffaloRochester
2016-07-03,1.3,180609.07,2016,BuffaloRochester
2016-07-31,1.22,5947160.29,2016,California
2016-07-24,1.2,6104047.38,2016,California
2016-07-17,1.14,6200613.68,2016,California
2016-07-10,1.08,6721690.88,2016,California
2016-07-03,1.1,7087455.16,2016,California
2016-07-31,1.48,187969.31,2016,Charlotte
2016-07-24,1.46,193909.36,2016,Charlotte
2016-07-17,1.43,196466.9,2016,Charlotte
2016-07-10,1.26,233262.16,2016,Charlotte
2016-07-03,1.2,233543.59,2016,Charlotte
2016-07-31,1.68,614939.39,2016,Chicago
2016-07-24,1.66,658913.69,2016,Chicago
2016-07-17,1.51,717279.19,2016,Chicago
2016-07-10,1.53,712080.66,2016,Chicago
2016-07-03,1.23,974278.32,2016,Chicago
2016-07-31,1.07,254689.93,2016,CincinnatiDayton
2016-07-24,1.1,264194.71,2016,CincinnatiDayton
2016-07-17,1.05,280542.19,2016,CincinnatiDayton
2016-07-10,1.06,266811.55,2016,CincinnatiDayton
2016-07-03,0.84,330182.4,2016,CincinnatiDayton
2016-07-31,1.21,153804.34,2016,Columbus
2016-07-24,1.15,173335.16,2016,Columbus
2016-07-17,1.18,160413.49,2016,Columbus
2016-07-10,1.06,170762.71,2016,Columbus
2016-07-03,0.94,234975.32,2016,Columbus
2016-07-31,0.88,1163785.11,2016,DallasFtWorth
2016-07-24,0.94,1188812.12,2016,DallasFtWorth
2016-07-17,0.96,1070350.11,2016,DallasFtWorth
2016-07-10,0.91,1080238.02,2016,DallasFtWorth
2016-07-03,0.89,1350870.14,2016,DallasFtWorth
2016-07-31,1.15,673588.45,2016,Denver
2016-07-24,1.17,690893.4,2016,Denver
2016-07-17,1.07,771606.04,2016,Denver
2016-07-10,1.04,835116.1,2016,Denver
2016-07-03,1.03,815698.87,2016,Denver
2016-07-31,1.16,340176.41,2016,Detroit
2016-07-24,1.15,354577.28,2016,Detroit
2016-07-17,1.17,328237.93,2016,Detroit
2016-07-10,1.18,311241.09,2016,Detroit
2016-07-03,1.17,336701.66,2016,Detroit
2016-07-31,1.6,142302.47,2016,GrandRapids
2016-07-24,1.6,149002.57,2016,GrandRapids
2016-07-17,1.58,146730.62,2016,GrandRapids
2016-07-10,1.6,133747.66,2016,GrandRapids
2016-07-03,1.49,159566.9,2016,GrandRapids
2016-07-31,1.34,3013426.04,2016,GreatLakes
2016-07-24,1.32,3212818.19,2016,GreatLakes
2016-07-17,1.25,3267857.63,2016,GreatLakes
2016-07-10,1.24,3327062.2,2016,GreatLakes
2016-07-03,1.13,4020724.58,2016,GreatLakes
2016-07-31,1.37,253671.67,2016,HarrisburgScranton
2016-07-24,1.36,247275.14,2016,HarrisburgScranton
2016-07-17,1.25,249117.51,2016,HarrisburgScranton
2016-07-10,1.21,274783.17,2016,HarrisburgScranton
2016-07-03,1.23,287688.42,2016,HarrisburgScranton
2016-07-31,1.72,255025.51,2016,HartfordSpringfield
2016-07-24,1.7,254686.05,2016,HartfordSpringfield
2016-07-17,1.63,259416.65,2016,HartfordSpringfield
2016-07-10,1.46,292611.92,2016,HartfordSpringfield
2016-07-03,1.47,309896.68,2016,HartfordSpringfield
2016-07-31,0.98,941066.42,2016,Houston
2016-07-24,0.96,985027.91,2016,Houston
2016-07-17,0.92,1006984.22,2016,Houston
2016-07-10,0.89,1101543.61,2016,Houston
2016-07-03,0.92,1189787.36,2016,Houston
2016-07-31,1.27,159573.77,2016,Indianapolis
2016-07-24,1.2,178389.87,2016,Indianapolis
2016-07-17,1.08,195710.39,2016,Indianapolis
2016-07-10,1.12,191786.29,2016,Indianapolis
2016-07-03,1.1,205562.64,2016,Indianapolis
2016-07-31,1.23,152777.16,2016,Jacksonville
2016-07-24,1.21,156316.92,2016,Jacksonville
2016-07-17,1.22,165453.6,2016,Jacksonville
2016-07-10,1.19,164680.49,2016,Jacksonville
2016-07-03,0.93,272150.68,2016,Jacksonville
2016-07-31,1.17,284566.03,2016,LasVegas
2016-07-24,1.15,283863.44,2016,LasVegas
2016-07-17,1.08,283074.0,2016,LasVegas
2016-07-10,1.0,357786.69,2016,LasVegas
2016-07-03,1.0,362136.8,2016,LasVegas
2016-07-31,1.06,2826836.07,2016,LosAngeles
2016-07-24,1.01,3033328.67,2016,LosAngeles
2016-07-17,0.97,3092234.0,2016,LosAngeles
2016-07-10,0.93,3293224.51,2016,LosAngeles
2016-07-03,0.95,3449361.49,2016,LosAngeles
2016-07-31,1.24,86030.88,2016,Louisville
2016-07-24,1.19,95001.32,2016,Louisville
2016-07-17,1.13,101963.67,2016,Louisville
2016-07-10,1.15,94591.67,2016,Louisville
2016-07-03,1.0,106600.14,2016,Louisville
2016-07-31,1.3,496508.86,2016,MiamiFtLauderdale
2016-07-24,1.28,520496.36,2016,MiamiFtLauderdale
2016-07-17,1.24,516716.17,2016,MiamiFtLauderdale
2016-07-10,1.24,566889.77,2016,MiamiFtLauderdale
2016-07-03,0.96,868986.46,2016,MiamiFtLauderdale
2016-07-31,1.35,2787002.19,2016,Midsouth
2016-07-24,1.32,2914817.51,2016,Midsouth
2016-07-17,1.26,2940448.51,2016,Midsouth
2016-07-10,1.19,3221650.74,2016,Midsouth
2016-07-03,1.15,3393696.45,2016,Midsouth
2016-07-31,1.1,186520.46,2016,Nashville
2016-07-24,1.07,191727.48,2016,Nashville
2016-07-17,1.07,196773.62,2016,Nashville
2016-07-10,1.0,198240.02,2016,Nashville
2016-07-03,0.87,250902.49,2016,Nashville
2016-07-31,1.2,254878.35,2016,NewOrleansMobile
2016-07-24,1.16,261491.83,2016,NewOrleansMobile
2016-07-17,1.09,284925.7,2016,NewOrleansMobile
2016-07-10,1.06,291978.06,2016,NewOrleansMobile
2016-07-03,0.93,360419.86,2016,NewOrleansMobile
2016-07-31,1.7,1122162.86,2016,NewYork
2016-07-24,1.68,1180373.67,2016,NewYork
2016-07-17,1.64,1076259.08,2016,NewYork
2016-07-10,1.51,1266199.75,2016,NewYork
2016-07-03,1.53,1280725.34,2016,NewYork
2016-07-31,1.6,3813808.25,2016,Northeast
2016-07-24,1.54,3834290.51,2016,Northeast
2016-07-17,1.49,3736814.35,2016,Northeast
2016-07-10,1.33,4487625.78,2016,Northeast
2016-07-03,1.41,4486744.99,2016,Northeast
