Date,AveragePrice,Total Volume,year,region
2017-11-26,1.5,62977.0,2017,Albany
2017-11-19,1.65,97273.0,2017,Albany
2017-11-12,1.26,113586.0,2017,Albany
2017-11-05,1.62,71076.94,2017,Albany
2017-11-26,1.12,412213.0,2017,Atlanta
2017-11-19,1.13,453755.0,2017,Atlanta
2017-11-12,1.11,518209.0,2017,Atlanta
2017-11-05,1.08,567572.7,2017,Atlanta
2017-11-26,1.43,629719.0,2017,BaltimoreWashington
2017-11-19,1.45,644740.0,2017,BaltimoreWashington
2017-11-12,1.49,658693.0,2017,BaltimoreWashington
2017-11-05,1.41,736468.07,2017,BaltimoreWashington
2017-11-26,1.44,54681.0,2017,Boise
2017-11-19,1.42,60602.0,2017,Boise
2017-11-12,1.23,81827.0,2017,Boise
2017-11-05,1.21,81104.74,2017,Boise
2017-11-26,1.39,423778.0,2017,Boston
2017-11-19,1.36,476236.0,2017,Boston
2017-11-12,1.23,639092.0,2017,Boston
2017-11-05,1.49,440972.34,2017,Boston
2017-11-26,1.23,102658.0,2017,BuffaloRochester
2017-11-19,1.3,112445.0,2017,BuffaloRochester
2017-11-12,1.37,118434.0,2017,BuffaloRochester
2017-11-05,1.37,115630.87,2017,BuffaloRochester
2017-11-26,1.3,4392810.0,2017,California
2017-11-19,1.26,4782021.0,2017,California
2017-11-12,1.15,5637795.0,2017,California
2017-11-05,1.15,5663438.53,2017,California
2017-11-26,1.4,170412.0,2017,Charlotte
2017-11-19,1.4,179011.0,2017,Charlotte
2017-11-12,1.44,190445.0,2017,Charlotte
2017-11-05,1.47,187381.18,2017,Charlotte
2017-11-26,1.7,506394.0,2017,Chicago
2017-11-19,1.71,555872.0,2017,Chicago
2017-11-12,1.78,541010.0,2017,Chicago
2017-11-05,1.77,538967.37,2017,Chicago
2017-11-26,1.23,165103.0,2017,CincinnatiDayton
2017-11-19,1.01,247158.0,2017,CincinnatiDayton
2017-11-12,0.9,324830.0,2017,CincinnatiDayton
2017-11-05,1.01,320427.23,2017,CincinnatiDayton
2017-11-26,1.04,126378.0,2017,Columbus
2017-11-19,0.97,169553.0,2017,Columbus
2017-11-12,0.97,196433.0,2017,Columbus
2017-11-05,0.96,222749.35,2017,Columbus
2017-11-26,0.95,898548.0,2017,DallasFtWorth
2017-11-19,0.94,958421.0,2017,DallasFtWorth
2017-11-12,0.96,1054327.0,2017,DallasFtWorth
2017-11-05,0.96,1142499.74,2017,DallasFtWorth
2017-11-26,1.36,543243.0,2017,Denver
2017-11-19,1.13,701022.0,2017,Denver
2017-11-12,1.03,847836.0,2017,Denver
2017-11-05,1.07,934570.7,2017,Denver
2017-11-26,1.21,229292.0,2017,Detroit
2017-11-19,0.99,353938.0,2017,Detroit
2017-11-12,0.93,432903.0,2017,Detroit
2017-11-05,1.0,426643.42,2017,Detroit
2017-11-26,1.65,96700.0,2017,GrandRapids
2017-11-19,1.4,139279.0,2017,GrandRapids
2017-11-12,1.59,110784.0,2017,GrandRapids
2017-11-05,1.7,103715.88,2017,GrandRapids
2017-11-26,1.38,2254700.0,2017,GreatLakes
2017-11-19,1.23,2983690.0,2017,GreatLakes
2017-11-12,1.19,3284210.0,2017,GreatLakes
2017-11-05,1.26,3225071.95,2017,GreatLakes
2017-11-26,1.3,191490.0,2017,HarrisburgScranton
2017-11-19,1.3,216608.0,2017,HarrisburgScranton
2017-11-12,1.38,201442.0,2017,HarrisburgScranton
2017-11-05,1.45,191459.87,2017,HarrisburgScranton
2017-11-26,1.38,229399.0,2017,HartfordSpringfield
2017-11-19,1.38,264765.0,2017,HartfordSpringfield
2017-11-12,1.56,226866.0,2017,HartfordSpringfield
2017-11-05,1.53,240615.51,2017,HartfordSpringfield
2017-11-26,0.88,991547.0,2017,Houston
2017-11-19,0.89,1142126.0,2017,Houston
2017-11-12,0.88,1256897.0,2017,Houston
2017-11-05,0.95,1363261.11,2017,Houston
2017-11-26,1.4,115688.0,2017,Indianapolis
2017-11-19,1.08,178437.0,2017,Indianapolis
2017-11-12,1.03,202129.0,2017,Indianapolis
2017-11-05,1.26,194103.11,2017,Indianapolis
2017-11-26,1.42,120001.0,2017,Jacksonville
2017-11-19,1.21,155729.0,2017,Jacksonville
2017-11-12,1.33,154511.0,2017,Jacksonville
2017-11-05,1.48,131679.37,2017,Jacksonville
2017-11-26,1.16,205033.0,2017,LasVegas
2017-11-19,1.13,234265.0,2017,LasVegas
2017-11-12,1.06,291325.0,2017,LasVegas
2017-11-05,1.12,321534.28,2017,LasVegas
2017-11-26,1.19,2153918.0,2017,LosAngeles
2017-11-19,1.14,2391383.0,2017,LosAngeles
2017-11-12,1.08,2626121.0,2017,LosAngeles
2017-11-05,1.04,2691240.89,2017,LosAngeles
2017-11-26,1.45,53796.0,2017,Louisville
2017-11-19,1.18,79284.0,2017,Louisville
2017-11-12,1.14,100811.0,2017,Louisville
2017-11-05,1.18,86085.33,2017,Louisville
2017-11-26,1.45,464647.0,2017,MiamiFtLauderdale
2017-11-19,1.23,642013.0,2017,MiamiFtLauderdale
2017-11-12,1.42,513109.0,2017,MiamiFtLauderdale
2017-11-05,1.53,463170.5,2017,MiamiFtLauderdale
2017-11-26,1.33,2200251.0,2017,Midsouth
2017-11-19,1.3,2462798.0,2017,Midsouth
2017-11-12,1.33,2631186.0,2017,Midsouth
2017-11-05,1.28,2880937.37,2017,Midsouth
2017-11-26,1.08,159826.0,2017,Nashville
2017-11-19,1.02,188444.0,2017,Nashville
2017-11-12,1.07,202631.0,2017,Nashville
2017-11-05,1.02,229240.49,2017,Nashville
2017-11-26,1.27,176817.0,2017,NewOrleansMobile
2017-11-19,1.27,207295.0,2017,NewOrleansMobile
2017-11-12,1.11,292987.0,2017,NewOrleansMobile
2017-11-05,1.32,225563.4,2017,NewOrleansMobile
2017-11-26,1.42,1210256.0,2017,NewYork
2017-11-19,1.37,1335298.0,2017,NewYork
2017-11-12,1.52,1122350.0,2017,NewYork
2017-11-05,1.41,1319642.14,2017,NewYork
2017-11-26,1.37,3269460.0,2017,Northeast
2017-11-19,1.37,3680754.0,2017,Northeast
2017-11-12,1.35,3925104.0,2017,Northeast
2017-11-05,1.45,3492828.1,2017,Northeast
2017-11-26,1.41,270865.0,2017,NorthernNewEngland
