Date,AveragePrice,Total Volume,year,region
2018-03-25,1.57,149396.5,2018,Albany
2018-03-18,1.35,105304.65,2018,Albany
2018-03-11,1.12,144648.75,2018,Albany
2018-03-04,1.08,139520.6,2018,Albany
2018-03-25,1.04,624645.42,2018,Atlanta
2018-03-18,0.95,730449.69,2018,Atlanta
2018-03-11,0.96,695821.13,2018,Atlanta
2018-03-04,1.08,594551.6,2018,Atlanta
2018-03-25,1.23,986038.75,2018,BaltimoreWashington
2018-03-18,1.16,1113242.82,2018,BaltimoreWashington
2018-03-11,1.36,874780.27,2018,BaltimoreWashington
2018-03-04,1.25,988572.63,2018,BaltimoreWashington
2018-03-25,1.28,85839.98,2018,Boise
2018-03-18,1.03,119045.04,2018,Boise
2018-03-11,1.26,80611.01,2018,Boise
2018-03-04,1.22,91070.8,2018,Boise
2018-03-25,1.39,641462.43,2018,Boston
2018-03-18,1.38,602177.43,2018,Boston
2018-03-11,1.34,629090.87,2018,Boston
2018-03-04,1.19,785188.72,2018,Boston
2018-03-25,1.21,163592.4,2018,BuffaloRochester
2018-03-18,1.14,166358.32,2018,BuffaloRochester
2018-03-11,1.16,185174.55,2018,BuffaloRochester
2018-03-04,1.19,168190.37,2018,BuffaloRochester
2018-03-25,1.04,6687009.44,2018,California
2018-03-18,1.02,6802084.11,2018,California
2018-03-11,1.11,6488605.43,2018,California
2018-03-04,1.13,6295529.61,2018,California
2018-03-25,1.32,258547.55,2018,Charlotte
2018-03-18,0.99,396324.57,2018,Charlotte
2018-03-11,1.27,279661.71,2018,Charlotte
2018-03-04,1.32,259060.74,2018,Charlotte
2018-03-25,1.36,908202.13,2018,Chicago
2018-03-18,1.42,841171.24,2018,Chicago
2018-03-11,1.54,830421.03,2018,Chicago
2018-03-04,1.53,820728.47,2018,Chicago
2018-03-25,1.08,277267.97,2018,CincinnatiDayton
2018-03-18,1.07,245062.31,2018,CincinnatiDayton
2018-03-11,1.01,275804.74,2018,CincinnatiDayton
2018-03-04,1.02,265942.15,2018,CincinnatiDayton
2018-03-25,0.96,264778.18,2018,Columbus
2018-03-18,1.01,216897.74,2018,Columbus
2018-03-11,1.05,212107.87,2018,Columbus
2018-03-04,1.04,207531.29,2018,Columbus
2018-03-25,0.73,1803351.21,2018,DallasFtWorth
2018-03-18,0.87,1362250.25,2018,DallasFtWorth
2018-03-11,0.87,1356159.96,2018,DallasFtWorth
2018-03-04,0.77,1501141.58,2018,DallasFtWorth
2018-03-25,1.02,950483.37,2018,Denver
2018-03-18,1.02,1010953.71,2018,Denver
2018-03-11,1.16,788107.23,2018,Denver
2018-03-04,1.01,934460.44,2018,Denver
2018-03-25,1.15,477637.43,2018,Detroit
2018-03-18,1.09,428600.2,2018,Detroit
2018-03-11,1.14,443295.3,2018,Detroit
2018-03-04,1.18,400047.47,2018,Detroit
2018-03-25,1.47,207028.28,2018,GrandRapids
2018-03-18,1.4,175969.31,2018,GrandRapids
2018-03-11,1.43,191286.89,2018,GrandRapids
2018-03-04,1.74,137419.7,2018,GrandRapids
