Date,AveragePrice,Total Volume,year,region
2015-08-30,1.07,105693.84,2015,Albany
2015-08-23,1.34,79992.09,2015,Albany
2015-08-16,1.33,80043.78,2015,Albany
2015-08-09,1.12,111140.93,2015,Albany
2015-08-02,1.45,75133.1,2015,Albany
2015-08-30,1.15,382972.72,2015,Atlanta
2015-08-23,1.12,379054.29,2015,Atlanta
2015-08-16,1.09,465213.81,2015,Atlanta
2015-08-09,1.01,503791.72,2015,Atlanta
2015-08-02,1.15,405898.44,2015,Atlanta
2015-08-30,1.24,734721.29,2015,BaltimoreWashington
2015-08-23,1.16,783935.36,2015,BaltimoreWashington
2015-08-16,1.14,882754.72,2015,BaltimoreWashington
2015-08-09,1.16,821523.45,2015,BaltimoreWashington
2015-08-02,1.17,800603.23,2015,BaltimoreWashington
2015-08-30,1.19,60099.83,2015,Boise
2015-08-23,1.05,70773.76,2015,Boise
2015-08-16,1.12,64001.61,2015,Boise
2015-08-09,1.1,61286.98,2015,Boise
2015-08-02,1.07,67763.91,2015,Boise
2015-08-30,1.13,526664.87,2015,Boston
2015-08-23,1.07,589471.32,2015,Boston
2015-08-16,1.15,565795.06,2015,Boston
2015-08-09,1.07,690517.19,2015,Boston
2015-08-02,1.17,571994.5,2015,Boston
2015-08-30,1.38,83731.42,2015,BuffaloRochester
2015-08-23,1.49,68953.29,2015,BuffaloRochester
2015-08-16,1.5,69798.09,2015,BuffaloRochester
2015-08-09,1.47,81830.13,2015,BuffaloRochester
2015-08-02,1.47,78162.92,2015,BuffaloRochester
2015-08-30,1.08,5647385.15,2015,California
2015-08-23,1.18,5193221.0,2015,California
2015-08-16,1.11,5616434.08,2015,California
2015-08-09,1.1,6232081.27,2015,California
2015-08-02,1.16,5428238.87,2015,California
2015-08-30,1.2,179026.88,2015,Charlotte
2015-08-23,1.15,203298.37,2015,Charlotte
2015-08-16,1.24,178525.52,2015,Charlotte
2015-08-09,1.21,173059.32,2015,Charlotte
2015-08-02,1.24,179321.9,2015,Charlotte
2015-08-30,1.12,773773.53,2015,Chicago
2015-08-23,1.2,751850.01,2015,Chicago
2015-08-16,1.16,817690.89,2015,Chicago
2015-08-09,1.25,731125.01,2015,Chicago
2015-08-02,1.27,761027.42,2015,Chicago
2015-08-30,1.01,234132.09,2015,CincinnatiDayton
2015-08-23,1.05,208608.84,2015,CincinnatiDayton
2015-08-16,1.01,234349.47,2015,CincinnatiDayton
2015-08-09,1.08,214374.41,2015,CincinnatiDayton
2015-08-02,1.09,206121.36,2015,CincinnatiDayton
2015-08-30,1.03,147230.76,2015,Columbus
2015-08-23,1.08,130920.97,2015,Columbus
2015-08-16,1.03,155881.73,2015,Columbus
2015-08-09,1.0,167387.9,2015,Columbus
2015-08-02,1.05,148597.91,2015,Columbus
2015-08-30,0.82,1101680.91,2015,DallasFtWorth
2015-08-23,0.85,1120172.03,2015,DallasFtWorth
2015-08-16,0.88,1122668.33,2015,DallasFtWorth
2015-08-09,0.85,1124259.51,2015,DallasFtWorth
2015-08-02,0.87,1067498.21,2015,DallasFtWorth
2015-08-30,1.14,721703.83,2015,Denver
2015-08-23,1.2,598195.03,2015,Denver
2015-08-16,1.17,648148.15,2015,Denver
2015-08-09,1.09,669377.04,2015,Denver
2015-08-02,1.05,727916.83,2015,Denver
2015-08-30,0.96,422762.9,2015,Detroit
2015-08-23,1.11,267968.5,2015,Detroit
2015-08-16,0.97,400251.59,2015,Detroit
2015-08-09,1.07,341289.98,2015,Detroit
2015-08-02,1.04,364735.69,2015,Detroit
2015-08-30,0.91,226898.73,2015,GrandRapids
2015-08-23,1.28,128681.94,2015,GrandRapids
2015-08-16,0.89,268902.14,2015,GrandRapids
2015-08-09,1.08,186733.16,2015,GrandRapids
2015-08-02,1.05,184067.49,2015,GrandRapids
2015-08-30,1.04,3388803.79,2015,GreatLakes
2015-08-23,1.14,2849127.29,2015,GreatLakes
2015-08-16,1.03,3653376.07,2015,GreatLakes
2015-08-09,1.12,3230139.65,2015,GreatLakes
2015-08-02,1.14,3162447.64,2015,GreatLakes
2015-08-30,1.18,219908.82,2015,HarrisburgScranton
2015-08-23,1.1,222637.15,2015,HarrisburgScranton
2015-08-16,1.09,247813.45,2015,HarrisburgScranton
2015-08-09,1.07,247575.06,2015,HarrisburgScranton
2015-08-02,1.1,242281.36,2015,HarrisburgScranton
2015-08-30,1.26,292827.27,2015,HartfordSpringfield
2015-08-23,1.14,298493.22,2015,HartfordSpringfield
2015-08-16,1.12,351074.46,2015,HartfordSpringfield
2015-08-09,1.12,354490.75,2015,HartfordSpringfield
2015-08-02,1.16,323449.77,2015,HartfordSpringfield
2015-08-30,0.88,926124.93,2015,Houston
2015-08-23,0.89,933166.17,2015,Houston
2015-08-16,0.92,968899.09,2015,Houston
2015-08-09,0.92,935149.69,2015,Houston
2015-08-02,0.9,948126.9,2015,Houston
2015-08-30,1.17,147066.48,2015,Indianapolis
2015-08-23,1.22,131935.23,2015,Indianapolis
2015-08-16,1.14,160059.77,2015,Indianapolis
2015-08-09,1.2,148384.89,2015,Indianapolis
2015-08-02,1.21,151883.21,2015,Indianapolis
2015-08-30,1.26,116109.0,2015,Jacksonville
2015-08-23,1.25,111825.39,2015,Jacksonville
2015-08-16,1.25,107523.14,2015,Jacksonville
2015-08-09,0.99,188720.77,2015,Jacksonville
2015-08-02,1.24,112332.05,2015,Jacksonville
2015-08-30,1.09,284309.17,2015,LasVegas
2015-08-23,1.06,261084.13,2015,LasVegas
2015-08-16,0.96,314774.36,2015,LasVegas
2015-08-09,0.96,353118.24,2015,LasVegas
2015-08-02,1.09,272441.01,2015,LasVegas
2015-08-30,0.9,3037663.98,2015,LosAngeles
2015-08-23,1.03,2604991.25,2015,LosAngeles
2015-08-16,0.93,2943218.77,2015,LosAngeles
