Date,AveragePrice,Total Volume,year,region
2015-05-31,1.23,95123.62,2015,Albany
2015-05-24,1.19,101470.91,2015,Albany
2015-05-17,1.43,109857.47,2015,Albany
2015-05-10,1.26,120427.91,2015,Albany
2015-05-03,1.2,59197.67,2015,Albany
2015-05-31,1.1,454702.0,2015,Atlanta
2015-05-24,0.96,623212.04,2015,Atlanta
2015-05-17,1.11,451250.7,2015,Atlanta
2015-05-10,1.1,480071.18,2015,Atlanta
2015-05-03,1.0,634213.1,2015,Atlanta
2015-05-31,1.19,949177.06,2015,BaltimoreWashington
2015-05-24,1.18,908661.83,2015,BaltimoreWashington
2015-05-17,1.27,790853.86,2015,BaltimoreWashington
2015-05-10,1.26,855205.82,2015,BaltimoreWashington
2015-05-03,1.17,896972.05,2015,BaltimoreWashington
2015-05-31,0.97,76689.38,2015,Boise
2015-05-24,1.03,83209.77,2015,Boise
2015-05-17,0.96,77987.53,2015,Boise
2015-05-10,1.06,95788.53,2015,Boise
2015-05-03,1.0,85466.99,2015,Boise
2015-05-31,1.26,565160.95,2015,Boston
2015-05-24,1.14,633521.98,2015,Boston
2015-05-17,1.26,534488.54,2015,Boston
2015-05-10,1.14,625558.14,2015,Boston
2015-05-03,1.17,552368.94,2015,Boston
2015-05-31,1.4,130841.08,2015,BuffaloRochester
2015-05-24,1.43,121942.61,2015,BuffaloRochester
2015-05-17,1.35,137050.23,2015,BuffaloRochester
2015-05-10,1.33,170547.18,2015,BuffaloRochester
2015-05-03,1.42,136771.79,2015,BuffaloRochester
2015-05-31,0.98,6236903.31,2015,California
2015-05-24,1.1,5621713.64,2015,California
2015-05-17,1.08,5289138.5,2015,California
2015-05-10,0.93,6650357.96,2015,California
2015-05-03,0.88,8567534.49,2015,California
2015-05-31,1.19,194630.86,2015,Charlotte
2015-05-24,1.2,212527.72,2015,Charlotte
2015-05-17,1.21,190799.99,2015,Charlotte
2015-05-10,1.19,192767.09,2015,Charlotte
2015-05-03,1.0,261492.2,2015,Charlotte
2015-05-31,1.26,803571.87,2015,Chicago
2015-05-24,1.23,887105.04,2015,Chicago
2015-05-17,1.23,817870.17,2015,Chicago
2015-05-10,1.23,835938.63,2015,Chicago
2015-05-03,1.04,978376.13,2015,Chicago
2015-05-31,1.06,222382.69,2015,CincinnatiDayton
2015-05-24,1.1,222390.09,2015,CincinnatiDayton
2015-05-17,1.04,234579.34,2015,CincinnatiDayton
2015-05-10,1.06,259598.76,2015,CincinnatiDayton
2015-05-03,1.08,238140.96,2015,CincinnatiDayton
2015-05-31,1.1,143985.96,2015,Columbus
2015-05-24,1.01,171879.57,2015,Columbus
2015-05-17,1.0,180511.78,2015,Columbus
2015-05-10,1.1,162802.65,2015,Columbus
2015-05-03,0.99,176737.77,2015,Columbus
2015-05-31,0.68,1377670.81,2015,DallasFtWorth
2015-05-24,0.81,1184131.34,2015,DallasFtWorth
2015-05-17,0.73,1219398.43,2015,DallasFtWorth
2015-05-10,0.75,1298826.19,2015,DallasFtWorth
2015-05-03,0.77,1282852.08,2015,DallasFtWorth
2015-05-31,1.26,600377.94,2015,Denver
2015-05-24,1.16,657593.22,2015,Denver
2015-05-17,1.21,592588.01,2015,Denver
2015-05-10,1.08,735145.02,2015,Denver
2015-05-03,1.01,781496.4,2015,Denver
2015-05-31,1.09,324400.67,2015,Detroit
2015-05-24,1.03,373245.43,2015,Detroit
