Date,AveragePrice,Total Volume,year,region
2015-01-25,1.06,45147.5,2015,Albany
2015-01-18,1.17,44511.28,2015,Albany
2015-01-11,1.24,41195.08,2015,Albany
2015-01-04,1.22,40873.28,2015,Albany
2015-01-25,1.1,449332.85,2015,Atlanta
2015-01-18,1.11,431490.99,2015,Atlanta
2015-01-11,1.11,397542.72,2015,Atlanta
2015-01-04,1.0,435021.49,2015,Atlanta
2015-01-25,1.2,692934.46,2015,BaltimoreWashington
2015-01-18,1.23,657741.34,2015,BaltimoreWashington
2015-01-11,1.17,670231.94,2015,BaltimoreWashington
2015-01-04,1.08,788025.06,2015,BaltimoreWashington
2015-01-25,1.03,66069.21,2015,Boise
2015-01-18,1.08,62870.49,2015,Boise
2015-01-11,1.18,57355.52,2015,Boise
2015-01-04,1.01,80034.32,2015,Boise
2015-01-25,1.17,409343.56,2015,Boston
2015-01-18,1.23,401331.33,2015,Boston
2015-01-11,1.1,437771.89,2015,Boston
2015-01-04,1.02,491738.0,2015,Boston
2015-01-25,1.5,114052.94,2015,BuffaloRochester
2015-01-18,1.52,107040.29,2015,BuffaloRochester
2015-01-11,1.54,106221.32,2015,BuffaloRochester
2015-01-04,1.4,116253.44,2015,BuffaloRochester
2015-01-25,1.06,4929884.26,2015,California
2015-01-18,1.02,5570915.26,2015,California
2015-01-11,0.92,6024932.34,2015,California
2015-01-04,0.93,5777334.9,2015,California
2015-01-25,1.18,167270.13,2015,Charlotte
2015-01-18,1.25,152671.15,2015,Charlotte
2015-01-11,1.26,159942.68,2015,Charlotte
2015-01-04,1.19,166006.29,2015,Charlotte
2015-01-25,1.22,745439.17,2015,Chicago
2015-01-18,1.14,797741.43,2015,Chicago
2015-01-11,1.15,802874.94,2015,Chicago
2015-01-04,1.11,783068.03,2015,Chicago
2015-01-25,0.93,213554.45,2015,CincinnatiDayton
2015-01-18,0.93,175681.09,2015,CincinnatiDayton
2015-01-11,0.92,201392.27,2015,CincinnatiDayton
2015-01-04,0.88,228569.58,2015,CincinnatiDayton
2015-01-25,1.08,116995.68,2015,Columbus
2015-01-18,1.02,116450.21,2015,Columbus
2015-01-11,0.97,125742.48,2015,Columbus
2015-01-04,0.89,158638.04,2015,Columbus
2015-01-25,0.8,1008295.47,2015,DallasFtWorth
2015-01-18,0.76,1091677.29,2015,DallasFtWorth
2015-01-11,0.76,1128693.04,2015,DallasFtWorth
2015-01-04,0.74,1086363.97,2015,DallasFtWorth
2015-01-25,1.02,695658.81,2015,Denver
2015-01-18,0.99,808194.41,2015,Denver
2015-01-11,1.09,666579.35,2015,Denver
2015-01-04,0.99,668086.0,2015,Denver
2015-01-25,1.19,277325.29,2015,Detroit
2015-01-18,1.1,291788.43,2015,Detroit
2015-01-11,1.08,332165.05,2015,Detroit
2015-01-04,1.01,369694.27,2015,Detroit
2015-01-25,1.19,144301.73,2015,GrandRapids
2015-01-18,1.07,150201.39,2015,GrandRapids
2015-01-11,1.03,185135.41,2015,GrandRapids
2015-01-04,0.95,258979.63,2015,GrandRapids
2015-01-25,1.13,2928692.32,2015,GreatLakes
2015-01-18,1.08,3006207.02,2015,GreatLakes
2015-01-11,1.1,3067638.32,2015,GreatLakes
2015-01-04,1.02,3382800.12,2015,GreatLakes
2015-01-25,1.17,206074.14,2015,HarrisburgScranton
2015-01-18,1.24,182604.68,2015,HarrisburgScranton
2015-01-11,1.26,178735.25,2015,HarrisburgScranton
2015-01-04,1.05,203939.14,2015,HarrisburgScranton
2015-01-25,1.35,241174.11,2015,HartfordSpringfield
2015-01-18,1.39,229216.05,2015,HartfordSpringfield
2015-01-11,1.38,232640.15,2015,HartfordSpringfield
2015-01-04,1.06,332208.14,2015,HartfordSpringfield
2015-01-25,0.77,983910.94,2015,Houston
2015-01-18,0.77,1017854.16,2015,Houston
2015-01-11,0.78,1062071.65,2015,Houston
2015-01-04,0.71,1062990.62,2015,Houston
2015-01-25,1.06,149473.79,2015,Indianapolis
2015-01-18,1.14,149319.82,2015,Indianapolis
2015-01-11,1.25,138617.04,2015,Indianapolis
2015-01-04,1.02,160130.15,2015,Indianapolis
2015-01-25,1.2,109940.55,2015,Jacksonville
2015-01-18,1.27,99496.16,2015,Jacksonville
2015-01-11,1.2,99757.17,2015,Jacksonville
2015-01-04,0.97,153506.84,2015,Jacksonville
2015-01-25,1.06,249509.99,2015,LasVegas
2015-01-18,1.06,233186.09,2015,LasVegas
2015-01-11,0.93,274481.48,2015,LasVegas
2015-01-04,0.8,317861.35,2015,LasVegas
2015-01-25,0.96,2329987.29,2015,LosAngeles
2015-01-18,0.89,2800679.5,2015,LosAngeles
2015-01-11,0.85,2713699.6,2015,LosAngeles
2015-01-04,0.85,2682159.95,2015,LosAngeles
2015-01-25,1.02,86635.35,2015,Louisville
2015-01-18,1.06,85580.15,2015,Louisville
2015-01-11,1.05,75129.36,2015,Louisville
2015-01-04,0.92,101162.98,2015,Louisville
2015-01-25,1.27,398055.71,2015,MiamiFtLauderdale
2015-01-18,1.3,405138.19,2015,MiamiFtLauderdale
2015-01-11,1.28,342796.99,2015,MiamiFtLauderdale
2015-01-04,0.97,540234.22,2015,MiamiFtLauderdale
2015-01-25,1.15,2480820.72,2015,Midsouth
2015-01-18,1.19,2330829.2,2015,Midsouth
2015-01-11,1.17,2335986.11,2015,Midsouth
2015-01-04,1.1,2578275.12,2015,Midsouth
2015-01-25,1.07,140855.47,2015,Nashville
2015-01-18,1.08,143464.64,2015,Nashville
2015-01-11,1.07,149832.2,2015,Nashville
2015-01-04,1.0,162162.75,2015,Nashville
2015-01-25,0.94,271448.06,2015,NewOrleansMobile
2015-01-18,1.03,267666.12,2015,NewOrleansMobile
2015-01-11,0.97,239232.35,2015,NewOrleansMobile
2015-01-04,0.94,222751.51,2015,NewOrleansMobile
2015-01-25,1.36,1102868.27,2015,NewYork
2015-01-18,1.37,1044280.56,2015,NewYork
